Ticker,Name,Exchange,ICB_Sector_L1,ICB_Sector_L2,ICB_Sector_L3,ICB_Sector_L4
KPF,Đầu tư Tài sản KOJI,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
KSB,Khoáng sản Bình Dương,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Khai khoáng L3,Khai khoáng L4
L10,LILAMA 10,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Công nghiệp nặng L3,Máy công nghiệp L4
LAF,Chế biến Hàng XK Long An,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Thực phẩm L4
LBM,Khoáng sản Lâm Đồng,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
LCG,LIZEN,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
LDG,Đầu tư LDG,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,"Tư Vấn, Định giá, Môi giới Bất động sản L4"
LEC,BĐS Điện lực Miền Trung,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
LGC,Đầu tư Cầu đường CII,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
LGL,Long Giang Land,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
LHG,KCN Long Hậu,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
LIX,Bột giặt LIX,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng cá nhân L4
LM8,LILAMA 18,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
LPB,LienViet Post Bank,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
LSS,Mía đường Lam Sơn,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Thực phẩm L4
MBB,MBBank,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
MCG,Năng lượng và Bất động sản MCG,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
MCP,In và Bao bì Mỹ Châu,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Hàng công nghiệp L3,Containers & Đóng gói L4
MDG,Xây dựng Miền Đông,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
MHC,CTCP MHC,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,Dịch vụ vận tải L4
MIG,Bảo hiểm Quân đội,HOSE,Tài chính L1,Bảo hiểm L2,Bảo hiểm phi nhân thọ L3,Bảo hiểm phi nhân thọ L4
MSB,MSB Bank,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
MSH,May Sông Hồng,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng May mặc L4
MSN,Tập đoàn Masan,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Thực phẩm L4
MWG,Thế giới di động,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Phân phối hàng chuyên dụng L4
NAF,Nafoods Group,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Bia và đồ uống L3,Đồ uống & giải khát L4
NAV,Tấm lợp và gỗ Nam Việt,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
NBB,577 CORP,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
NCG,Nova Consumer,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
NCT,DV Hàng hóa Nội Bài,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,"Kho bãi, hậu cần và bảo dưỡng L4"
NHA,PT Nhà và Đô thị Nam HN,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
NHH,Nhựa Hà Nội,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
NHT,Sản xuất và Thương mại Nam Hoa,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng hóa giải trí L3,Đồ chơi L4
NKG,Thép Nam Kim,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Kim loại L3,Thép và sản phẩm thép L4
NLG,BĐS Nam Long,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
NNC,Đá Núi Nhỏ,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
NO1,Tâp đoàn 911,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Công nghiệp nặng L3,Máy công nghiệp L4
NSC,Tập đoàn Giống cây trồng Việt Nam,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
NT2,Điện lực Nhơn Trạch 2,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
NTL,Đô thị Từ Liêm,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
NVL,Đầu tư Địa ốc No Va (Novaland),HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
NVT,Ninh Vân Bay,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
OCB,Ngân hàng Phương Đông,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
OGC,Tập đoàn Đại Dương,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Tài chính đặc biệt L4
OPC,Dược phẩm OPC,HOSE,Dược phẩm và Y tế L1,Y tế L2,Dược phẩm L3,Dược phẩm L4
ORS,Chứng khoán Tiên Phong,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Môi giới chứng khoán L4
PAC,Pin Ắc quy Miền Nam,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Điện tử & Thiết bị điện L3,Hàng điện & điện tử L4
PAN,Tập đoàn PAN,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Thực phẩm L4
PC1,Tập đoàn PC1,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
PDN,Cảng Đồng Nai,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,"Kho bãi, hậu cần và bảo dưỡng L4"
PDR,BĐS Phát Đạt,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
PET,PETROSETCO,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Phân phối hàng chuyên dụng L4
PGC,Gas Petrolimex,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Phân phối xăng dầu & khí đốt L4
PGD,PV GAS D,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Phân phối xăng dầu & khí đốt L4
PGI,Bảo hiểm PJICO,HOSE,Tài chính L1,Bảo hiểm L2,Bảo hiểm phi nhân thọ L3,Bảo hiểm phi nhân thọ L4
PGV,Tổng Công ty Phát điện 3,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
PHC,Phuc Hung Holdings,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
PHR,Cao su Phước Hòa,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
PIT,XNK PETROLIMEX,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Bán lẻ phức hợp L4
PJT,Vận tải thủy PETROLIMEX,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,Vận tải Thủy L4
PLP,SX và CN Nhựa Pha Lê,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
PLX,Petrolimex,HOSE,Dầu khí L1,Dầu khí L2,Sản xuất Dầu khí L3,Sản xuất và Khai thác dầu khí L4
PMG,ĐT và SX Petro Miền Trung,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Phân phối xăng dầu & khí đốt L4
PNC,Văn hóa Phương Nam,HOSE,Dịch vụ Tiêu dùng L1,Truyền thông L2,Truyền thông L3,"Sách, ấn bản & sản phẩm văn hóa L4"
PNJ,Vàng Phú Nhuận,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng cá nhân L4
POM,Thép Pomina,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Kim loại L3,Thép và sản phẩm thép L4
POW,Điện lực Dầu khí Việt Nam,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
PPC,Nhiệt điện Phả Lại,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
