month,market_return
04/29/2004,-0.04689
03/31/2004,0.06462
02/27/2004,0.21594
01/30/2004,0.28381
12/31/2003,0.01873
11/28/2003,0.20307
10/31/2003,-0.02232
09/30/2003,-0.02375
08/29/2003,-0.02467
07/31/2003,-0.03908
06/30/2003,0.00020
05/30/2003,-0.00197
04/29/2003,0.04903
03/31/2003,-0.11664
02/28/2003,-0.04507
01/28/2003,-0.05973
12/31/2002,0.03070
11/29/2002,0.00146
10/31/2002,-0.02482
09/30/2002,-0.04972
08/30/2002,-0.02991
07/31/2002,-0.02222
06/28/2002,-0.02443
05/31/2002,-0.00652
04/26/2002,0.04162
03/29/2002,0.04736
02/27/2002,-0.07926
01/30/2002,-0.11831
12/31/2001,-0.18411
11/30/2001,0.10846
10/31/2001,0.06475
09/28/2001,-0.11875
08/31/2001,-0.34337
07/30/2001,-0.15555
06/29/2001,0.23752
05/30/2001,0.25910
04/27/2001,0.19224
03/30/2001,0.06696
02/28/2001,0.02685
01/31/2001,0.18842
12/29/2000,0.22580
11/29/2000,0.19803
10/30/2000,0.16676
09/29/2000,0.04828
08/30/2000,0.13392
07/31/2000,0.01550
